feature,mean_abs_shap_avg,mean_abs_shap_std,n_folds_in_topk
X367,0.008088476723060012,0.004440435009867075,0
X342,0.008047233568504453,0.0007058664861062398,0
X558,0.007981959846802056,0.004949550964359154,0
X271,0.007981005357578397,0.0010157114000514905,0
X20,0.007973716652486473,0.003630204604518095,0
X300,0.007923342694994062,0.004167714055379663,0
X608,0.00790971372043714,0.0030799991949097567,0
X386,0.007903308665845543,0.0046741099591057515,0
X604,0.007705469382926822,0.0015281387957434003,0
X38,0.0076742497039958835,0.005520846673946456,0
X297,0.007633395696757361,0.004282610440848069,0
X178,0.007579818018712103,0.008304872658094065,0
X331,0.007575669907964766,0.0015809961020217098,0
X564,0.007563698920421302,0.002065817638977246,0
X119,0.007411524245981127,0.0050604783854823416,0
X616,0.0074002877227030694,0.0022601533908291923,0
X217,0.007374841487035155,0.00575201756754521,0
X589,0.007355032314080745,0.0037145173441600725,0
X612,0.007258346886374056,0.0015914065168936486,0
X383,0.007227796595543623,0.004633666710702486,0
X82,0.007183969020843506,0.004077135910719261,0
X270,0.007120034453691915,0.005574170465772267,0
X710,0.007065041514579207,0.00254081965121198,0
X761,0.007047491031698883,0.001629492602129523,0
X164,0.00697737984592095,0.0042427655577316195,0
X472,0.006977309880312532,0.005756598661154066,0
X214,0.006654531112872064,0.0019958041694730297,0
X619,0.0066074481583200395,0.003862008560171549,0
X382,0.006525081225845497,0.010073637429035411,0
X417,0.006481603370048106,0.004538250111557241,0
X540,0.006285193259827793,0.0030443405567792234,0
X583,0.006276613392401487,0.0023986078943861564,0
X585,0.006247039185836911,0.0003016022511285097,0
X340,0.006226072553545237,0.00451926434162211,0
X424,0.006163553218357265,0.0037628834580855394,0
X272,0.006126325868535787,0.001980441530819228,0
X706,0.006032997276633978,0.004876105029512637,0
X85,0.006030482647474855,0.004514595637343534,0
X93,0.006022677262080833,0.005730405279593185,0
X168,0.0060197184211574495,0.005478898210731799,0
X741,0.006003469286952168,0.007443615714342728,0
X89,0.005991317462758161,0.004260234988703822,0
X380,0.005979553287033923,0.005388952845306476,0
X652,0.005960763664916158,0.0023683644474851683,0
X708,0.005905489786528051,0.0027704445686456565,0
X31,0.005856035859324038,0.0013469277320568788,0
X605,0.005850012646988034,0.001340711339126388,0
X683,0.0058474691468290985,0.002434641975565864,0
X646,0.005832208262290806,0.003427055903321888,0
X23,0.005783690314274281,0.0033495590436604327,0
X674,0.005721055538742803,0.0051921299596643595,0
X279,0.005659688438754529,0.0031564130112926563,0
X573,0.005636776506435126,0.002609052546920558,0
X169,0.0056339913862757385,0.004960024715062185,0
X368,0.00560510040668305,0.0044538437545509875,0
X160,0.0055452281958423555,0.0021584241775691087,0
X191,0.005527809578779852,0.005096997948628254,0
X415,0.00550005491822958,0.0031306072509798186,0
X569,0.0054446044960059226,0.00500555584843007,0
X181,0.005442224733997136,0.0017618770043663756,0
X291,0.005417559994384646,0.0016248733896665904,0
X292,0.00541097397217527,0.00381174590158158,0
X609,0.005319711461197585,0.002570200561488847,0
X429,0.005254314528428949,0.005441609904678107,0
X419,0.005162064742762595,0.00206994620831125,0
X173,0.005139389832038432,0.0018031159097039817,0
X295,0.005061121366452426,0.0027562992198890478,0
X44,0.005051038941019215,0.0026622814639300062,0
X559,0.005044122342951596,0.00430376640013773,0
X27,0.005042526085162535,0.004788699366226146,0
X774,0.0050058107590302825,0.0006330547273569279,0
X290,0.0049950238317251205,0.002488670064687874,0
X326,0.004978878547262866,0.0039622308956594274,0
X277,0.0049648770946078,0.0016763574766865213,0
X135,0.004934118507662788,0.004189922193332917,0
X127,0.0049121498595923185,0.0013578594426184943,0
X702,0.004896177852060646,0.0017348996748808656,0
X172,0.004876474500633776,0.002307443126542495,0
X327,0.004863461013883352,0.0019348866918127404,0
X410,0.0048486217856407166,0.0017885021881304146,0
X83,0.004794006119482219,0.0022628701646718956,0
X734,0.00474131474038586,0.002273996875103718,0
X95,0.004728747269837186,0.0020372256469864116,0
X167,0.004711181216407567,0.0012303072723540724,0
X219,0.004664608393795788,0.0015816951016409597,0
X131,0.0046564150470658205,0.004302559358682746,0
X298,0.004649421927751973,0.004661297205814416,0
X409,0.0046414516982622445,0.0020414928820239003,0
X464,0.0046320544788613915,0.001637230880848966,0
X86,0.004624844703357667,0.0033418174647938423,0
X735,0.004613949218764901,0.0011050590608490168,0
X22,0.004583150701364502,0.0018677004357354934,0
X335,0.004570769844576716,0.0019172229192827711,0
X91,0.004566214687656611,0.0014677726727272415,0
X561,0.004558133892714977,0.0016324424997904558,0
X216,0.0045293839648365974,0.001249425391804359,0
X731,0.004483673459617421,0.0023666591275729627,0
X188,0.004482212592847645,0.0016406243057033897,0
X602,0.004458662551769521,0.0044530910472514685,0
X166,0.004448822961421683,0.0022658775184680948,0
X92,0.004439889802597463,0.0019879406515235336,0
X283,0.0044257776007725624,0.005764918858409281,0
X640,0.004390008165501058,0.0018295298919579132,0
X175,0.004388201225083321,0.0031700203100455157,0
X420,0.0043176477192901075,0.0005744886332381036,0
X442,0.004309927229769528,0.002218634524692886,0
X377,0.004295293532777578,0.00209060541487397,0
X629,0.004281042929505929,0.002851740298833742,0
X600,0.0042558572749840096,0.0057325925770741045,0
X87,0.00421788111270871,0.002068282580468006,0
X294,0.0042173008259851485,0.002274847464137696,0
X550,0.0042155509581789374,0.0012541656195150619,0
X574,0.004169435298535973,0.0014973655668332946,0
X742,0.0041686827898956835,0.0010820922814480495,0
X162,0.0041663426090963185,0.0006707107310635452,0
X372,0.004162725766946096,0.0031127032835737084,0
X287,0.004148066418565577,0.00406486473591137,0
X680,0.004141660581808537,0.0011656522740861957,0
X505,0.004132245398068335,0.0047016900436820394,0
X130,0.004116291063837707,0.0020764404862489527,0
X28,0.004112076210731175,0.0032263677816349516,0
X43,0.004053384531289339,0.0028590863616865646,0
X713,0.004039258594275452,0.0033616914428733066,0
X549,0.004010683158412576,0.001878779332175341,0
X707,0.004006162944278913,0.005083863614389896,0
X137,0.003973406390286982,0.0025128159398517228,0
X296,0.0039668324461672455,0.00226806039205555,0
X526,0.003962701111959177,0.003813601574885398,0
X703,0.003960385802201927,0.005017949868716827,0
X498,0.003924437798559666,0.00108495270144921,0
X205,0.003891015199769754,0.003233886149616795,0
X33,0.003875642200000584,0.00472508805171082,0
X506,0.003874994406942278,0.0010633086015238416,0
X35,0.003873430541716516,0.0024513249039638052,0
X371,0.0038618559992755763,0.004600759369248403,0
X754,0.0038432364526670426,0.0034431342671592076,0
X685,0.003829919616691768,0.0004087410626797957,0
X42,0.0038044101602281444,0.004397717856505068,0
X760,0.0037781867722515017,0.0017718238194717412,0
X378,0.003721845132531598,0.0026385542281114186,0
X163,0.0037133427103981376,0.0016812037872075015,0
X618,0.003712183581228601,0.003498474274901132,0
X77,0.003708846343215555,0.0016291740801018684,0
X370,0.0036996615526732057,0.0022194255844112725,0
X121,0.003668880033728783,0.0035183115404476386,0
X17,0.003666295437142253,0.0021806559487331585,0
X577,0.0036560287117026746,0.0012674607390241593,0
X299,0.0036302509179222398,0.0023828591718001325,0
X712,0.0035485361295286566,0.0013142310709635362,0
X722,0.0035394691567489645,0.003418243552703571,0
X647,0.0035274121328257024,0.0002786705339791609,0
X226,0.003493219774099998,0.002502264751590484,0
X416,0.00344314391259104,0.0024318611751208107,0
X451,0.003441235632635653,0.0030308795036796776,0
X301,0.0033818063093349338,0.0005962592550622715,0
X36,0.0033351458550896496,0.0023222603690592576,0
X765,0.0033264071098528802,0.0018025501733271226,0
X413,0.0033001585688907653,0.0018552802588185729,0
X361,0.0032870981231098995,0.003707019731271962,0
X580,0.003283360681962222,0.0019344086646012001,0
X293,0.003264172930357745,0.0025606693933136063,0
X678,0.003253225877415389,0.0013054597080905902,0
X268,0.003241691456423723,0.004608284255634032,0
X563,0.003234467760194093,0.0012463353575504945,0
X656,0.0032161592389456928,0.000604293215748211,0
X405,0.003160336797009222,0.0032262487326424026,0
X325,0.0031438627338502556,0.001330381556956425,0
X133,0.003121633519185707,0.002073137899701754,0
X264,0.003112175938440487,0.0012113056901122217,0
X436,0.00307069779955782,0.0026974431866512434,0
X197,0.0030483754526358098,0.002203629738874088,0
X336,0.003036530571989715,0.0018152678178947165,0
X125,0.0030240769556257874,0.0015608239437487222,0
X566,0.003019260213477537,0.0014430351418238815,0
X78,0.002943126601167023,0.001116741599499969,0
X334,0.0029427977424347773,0.0022932371170087955,0
X547,0.002942702529253438,0.0015102324750015587,0
