feature,pearson,abs_pearson,kept
X307,0.026854807745467037,0.026854807745467037,True
X187,0.026789733403974298,0.026789733403974298,True
X157,0.026754576808747706,0.026754576808747706,True
X426,-0.026630326515293894,0.026630326515293894,True
X184,0.02655868643595646,0.02655868643595646,True
X628,0.026503880981727897,0.026503880981727897,True
X88,0.026295042651778597,0.026295042651778597,True
X115,0.02627762201880133,0.02627762201880133,True
X210,0.026244092764408727,0.026244092764408727,True
X190,0.02622936142678732,0.02622936142678732,True
X232,0.026218414282254507,0.026218414282254507,True
X506,0.026162561374542564,0.026162561374542564,True
X459,0.026131121668898867,0.026131121668898867,True
X670,0.02604636072652374,0.02604636072652374,True
X709,-0.02579392195993019,0.02579392195993019,True
X237,0.025646445817401612,0.025646445817401612,True
X167,-0.025575329232647402,0.025575329232647402,True
X36,0.02544726516800168,0.02544726516800168,True
X65,-0.02528866694176778,0.02528866694176778,True
X51,0.025232531237239227,0.025232531237239227,True
X372,-0.02497906553595254,0.02497906553595254,True
X53,0.02489373587401695,0.02489373587401695,True
X123,0.02468728316918765,0.02468728316918765,True
X223,0.024562808679872823,0.024562808679872823,True
X433,0.02440082340312623,0.02440082340312623,True
X765,0.024398201712660005,0.024398201712660005,True
X191,0.0243778840517501,0.0243778840517501,True
X55,0.02426588684964829,0.02426588684964829,True
X247,0.024211315923079908,0.024211315923079908,True
X499,0.024201945864473325,0.024201945864473325,True
X675,0.024102296489908425,0.024102296489908425,True
X582,0.024053934879968396,0.024053934879968396,True
X34,0.023985599491332346,0.023985599491332346,True
X216,0.02398493744255588,0.02398493744255588,True
X666,0.02383220960956016,0.02383220960956016,True
X713,-0.02370542565135014,0.02370542565135014,True
X653,-0.02367213840544163,0.02367213840544163,True
X79,0.023489041048301216,0.023489041048301216,True
X479,0.023442818482634534,0.023442818482634534,True
X244,0.0233990049117451,0.0233990049117451,True
X437,0.023280084425644727,0.023280084425644727,True
X726,0.023270623494952614,0.023270623494952614,True
X626,0.023214763751967255,0.023214763751967255,True
X436,0.023179843437077196,0.023179843437077196,True
X151,0.023104286960666683,0.023104286960666683,True
X141,0.023042837335952755,0.023042837335952755,True
X736,-0.023026569037304996,0.023026569037304996,True
X663,0.02297754470025419,0.02297754470025419,True
X37,0.022956252325331147,0.022956252325331147,True
X73,0.02293059341088893,0.02293059341088893,True
X63,0.022774827107194695,0.022774827107194695,True
X723,0.02274886644552919,0.02274886644552919,True
X99,0.022682272823894234,0.022682272823894234,True
X188,0.02260274959115968,0.02260274959115968,True
X731,0.022548118385918737,0.022548118385918737,True
X760,0.022374788663693104,0.022374788663693104,True
X25,0.02232091510251361,0.02232091510251361,True
X69,0.02231390929658324,0.02231390929658324,True
X136,0.022301590167321625,0.022301590167321625,True
X109,0.02221573519162681,0.02221573519162681,True
X231,0.02219956841180338,0.02219956841180338,True
X324,-0.02215391445728411,0.02215391445728411,True
X240,0.022125535055458386,0.022125535055458386,True
X420,-0.022010929446713883,0.022010929446713883,True
X480,0.02193030786840004,0.02193030786840004,True
X430,0.02189718234535301,0.02189718234535301,True
X457,0.021759856806023208,0.021759856806023208,True
X119,-0.021755432439378254,0.021755432439378254,True
X767,0.021525246900103177,0.021525246900103177,True
X609,0.021520406054007887,0.021520406054007887,True
X729,0.02108256211905865,0.02108256211905865,True
X185,0.020486648903689834,0.020486648903689834,True
X82,0.02046286816343595,0.02046286816343595,True
X613,-0.02034959178091097,0.02034959178091097,True
X10,0.020332795631062564,0.020332795631062564,True
X570,0.020318710741630493,0.020318710741630493,True
X722,0.02031537375553996,0.02031537375553996,True
X366,-0.02028373774352032,0.02028373774352032,True
X236,0.02017406784288521,0.02017406784288521,True
X67,0.020068225132038032,0.020068225132038032,True
X755,0.02006593638571101,0.02006593638571101,True
X318,-0.019755258266406478,0.019755258266406478,True
X165,0.019699602056467983,0.019699602056467983,True
X478,0.019667939063412895,0.019667939063412895,True
X85,0.01958633775573605,0.01958633775573605,True
X498,0.019579529911685514,0.019579529911685514,True
X35,0.019354344243386386,0.019354344243386386,True
X17,0.019308961535839938,0.019308961535839938,True
X11,0.019292298130383412,0.019292298130383412,True
X428,0.019271790677113983,0.019271790677113983,True
X684,-0.01926701347664901,0.01926701347664901,True
X130,0.01922319676859964,0.01922319676859964,True
X14,0.019205332575487837,0.019205332575487837,True
X394,0.019201795129651398,0.019201795129651398,True
X75,0.019142823944420392,0.019142823944420392,True
X662,0.01892085750724238,0.01892085750724238,True
X761,0.01876520685430012,0.01876520685430012,True
X764,0.01865903670889454,0.01865903670889454,True
X503,0.01859560637885997,0.01859560637885997,True
X400,0.01842685699897108,0.01842685699897108,True
X504,0.0183659210080274,0.0183659210080274,True
X705,-0.018255865806429676,0.018255865806429676,True
X243,0.018230243846548946,0.018230243846548946,True
X57,0.018189144913321634,0.018189144913321634,True
X195,0.01816366908194254,0.01816366908194254,True
X312,-0.01804904570069394,0.01804904570069394,True
X15,0.018013818357262533,0.018013818357262533,True
X610,-0.017971416802687268,0.017971416802687268,True
X505,0.01793100619978505,0.01793100619978505,True
X360,-0.01786662464864535,0.01786662464864535,True
X497,0.017826916407894185,0.017826916407894185,True
X352,0.017752764811778034,0.017752764811778034,True
X496,0.017427796184761014,0.017427796184761014,True
X725,0.01737638352219718,0.01737638352219718,True
X33,0.01736423517348965,0.01736423517348965,True
X719,0.017352096702276974,0.017352096702276974,True
X624,0.017311151556117118,0.017311151556117118,True
X145,0.017292788917611462,0.017292788917611462,True
X202,0.017176469195225186,0.017176469195225186,True
X588,0.017169643641126036,0.017169643641126036,True
X362,0.017151863129294093,0.017151863129294093,True
X161,-0.01700003028018237,0.01700003028018237,True
X340,0.016961820789871403,0.016961820789871403,True
X591,0.0168929263794225,0.0168929263794225,True
X418,0.01688035184149847,0.01688035184149847,True
X422,0.016800770715196693,0.016800770715196693,True
X470,0.01673285780926695,0.01673285780926695,True
X495,0.016710511542324304,0.016710511542324304,True
X382,0.016674697061061963,0.016674697061061963,True
X770,-0.016624927759837094,0.016624927759837094,True
X346,0.016621859863093006,0.016621859863093006,True
X768,0.016578018403417775,0.016578018403417775,True
X356,0.01656047267897308,0.01656047267897308,True
X12,0.01655886557147149,0.01655886557147149,True
X124,0.016338215848489712,0.016338215848489712,True
X310,0.01632898777044483,0.01632898777044483,True
X129,0.0163081044557598,0.0163081044557598,True
X615,-0.016208193163860754,0.016208193163860754,True
X424,0.016176256406966294,0.016176256406966294,True
X644,-0.016166744730880516,0.016166744730880516,True
X718,0.016127682368204947,0.016127682368204947,True
X674,0.016070159028263586,0.016070159028263586,True
X730,0.01604965391517276,0.01604965391517276,True
X376,0.016018962409964123,0.016018962409964123,True
X368,0.015954621022666142,0.015954621022666142,True
X81,0.01593320499214927,0.01593320499214927,True
X358,0.01587962713543217,0.01587962713543217,True
X414,-0.015873034776321637,0.015873034776321637,True
X113,-0.015842061250292527,0.015842061250292527,True
X13,0.015827157582637096,0.015827157582637096,True
X162,0.015826954584657774,0.015826954584657774,True
X2,0.01575162073074337,0.01575162073074337,True
X412,0.015701027958894005,0.015701027958894005,True
X334,0.0156612183562213,0.0156612183562213,True
X584,0.01561431481552708,0.01561431481552708,True
X545,0.015595909999660547,0.015595909999660547,True
X537,0.015594173726650179,0.015594173726650179,True
X406,0.015582189521312873,0.015582189521312873,True
X156,0.015561814947288926,0.015561814947288926,True
X388,0.01551647332429373,0.01551647332429373,True
X679,0.01536385631918628,0.01536385631918628,True
X59,-0.015347002868233053,0.015347002868233053,True
X150,0.015340469215628559,0.015340469215628559,True
X533,0.01524787361887831,0.01524787361887831,True
X735,0.015232505296454629,0.015232505296454629,True
X572,0.015189853741519668,0.015189853741519668,True
X611,0.015159650357438702,0.015159650357438702,True
X304,0.015115487186915903,0.015115487186915903,True
X590,0.015092998875403538,0.015092998875403538,True
X608,0.015050662091973782,0.015050662091973782,True
X16,0.015038272796966531,0.015038272796966531,True
X235,0.014907354478647007,0.014907354478647007,True
X700,-0.014898835189553651,0.014898835189553651,True
X733,0.014874218915279376,0.014874218915279376,True
X546,0.01484627448719488,0.01484627448719488,True
X543,0.01482708079767259,0.01482708079767259,True
X168,0.014749778981368308,0.014749778981368308,True
X669,0.014719033308869398,0.014719033308869398,True
X502,0.014701803153315714,0.014701803153315714,True
X623,0.014685955210335186,0.014685955210335186,True
X209,0.01468283405480717,0.01468283405480717,True
X557,0.014650966482235352,0.014650966482235352,True
X484,0.014600371190037795,0.014600371190037795,True
X485,0.01459666294128515,0.01459666294128515,True
X605,0.014591825664274844,0.014591825664274844,True
X551,0.014528173141530326,0.014528173141530326,True
X492,0.014521186345104325,0.014521186345104325,True
X742,0.014479792624598569,0.014479792624598569,True
X569,0.01445538037062823,0.01445538037062823,True
X680,-0.01440226241238281,0.01440226241238281,True
X576,0.014380837038659914,0.014380837038659914,True
X354,-0.01436019056261233,0.01436019056261233,True
X539,0.014326647018506783,0.014326647018506783,True
X534,0.014322794033467581,0.014322794033467581,True
X578,0.014306153198108663,0.014306153198108663,True
X103,0.014275783399722327,0.014275783399722327,True
X442,0.014239432425179513,0.014239432425179513,True
X579,0.014145303046414513,0.014145303046414513,True
X374,0.014137860338262954,0.014137860338262954,True
X306,-0.013953878549904788,0.013953878549904788,True
X549,0.013887169821800717,0.013887169821800717,True
X449,0.013878469493367516,0.013878469493367516,True
X380,0.013865036935627656,0.013865036935627656,True
X316,0.013834127396789995,0.013834127396789995,True
X427,0.013807105530317961,0.013807105530317961,True
X87,0.013768419312612894,0.013768419312612894,True
X659,0.013720804197857638,0.013720804197857638,True
X721,0.013663764780239679,0.013663764780239679,True
X144,0.013636524195580901,0.013636524195580901,True
X370,0.013577143097483044,0.013577143097483044,True
X574,0.013566652271081312,0.013566652271081312,True
X491,0.013526850397378767,0.013526850397378767,True
X606,0.013506895979895368,0.013506895979895368,True
X242,0.013472754719150545,0.013472754719150545,True
X563,0.013442749445903662,0.013442749445903662,True
X575,0.013404356086756114,0.013404356086756114,True
X230,0.013327065707161048,0.013327065707161048,True
X60,0.01326823863941508,0.01326823863941508,True
X673,0.013251995220716234,0.013251995220716234,True
X68,0.013250478959124712,0.013250478959124712,True
X152,0.013250478959124712,0.013250478959124712,True
X110,0.013250478959124712,0.013250478959124712,True
X91,0.013215417438049756,0.013215417438049756,True
X262,0.013205466545092408,0.013205466545092408,True
X769,0.013195374508441687,0.013195374508441687,True
X780,0.013163311309628964,0.013163311309628964,True
X607,-0.013081954941091257,0.013081954941091257,True
X350,0.012993727422000636,0.012993727422000636,True
X665,0.012957799217462826,0.012957799217462826,True
X463,0.01294911881799874,0.01294911881799874,True
X178,0.012840410560811184,0.012840410560811184,True
X525,0.012815248730427477,0.012815248730427477,True
X261,0.012756169922018747,0.012756169922018747,True
X364,0.012724514493947237,0.012724514493947237,True
X146,0.012693382548913341,0.012693382548913341,True
X62,0.012693382548913341,0.012693382548913341,True
X104,0.012693382548913341,0.012693382548913341,True
X664,0.012641656864333585,0.012641656864333585,True
X602,0.012631107372939918,0.012631107372939918,True
X581,0.012552992737589436,0.012552992737589436,True
