feature,mean_abs_shap
X686,8.4371444e-05
X200,8.3849896e-05
X245,8.354207e-05
X471,8.302386e-05
X524,7.6762575e-05
X512,7.623155e-05
X624,7.434981e-05
X100,7.256347e-05
X116,6.627311e-05
X222,6.583305e-05
X534,6.571627e-05
X400,6.3897896e-05
X688,6.214407e-05
X477,6.207095e-05
X531,6.162999e-05
X718,5.9775804e-05
X494,5.8300775e-05
X663,5.5074903e-05
X554,5.2250223e-05
X61,4.9972885e-05
X394,4.8866095e-05
X227,4.8563274e-05
X391,4.811595e-05
X522,4.5728382e-05
X537,4.5504836e-05
X513,4.4950673e-05
X694,4.058344e-05
X306,3.7806465e-05
X248,3.647008e-05
X673,3.5489305e-05
X667,3.2612923e-05
X233,3.168402e-05
X322,2.9903136e-05
X184,2.8632332e-05
X481,2.8274017e-05
X207,2.7598047e-05
X502,2.5926107e-05
X744,2.4007753e-05
X250,2.3213128e-05
X213,2.3081406e-05
X446,2.1668977e-05
X528,2.1406004e-05
X453,1.8929046e-05
X396,1.8052451e-05
X541,1.7481854e-05
X664,1.6892642e-05
X631,1.6765345e-05
X493,1.6122594e-05
X304,1.5654354e-05
X318,1.4723112e-05
X474,1.4640355e-05
X696,1.2559855e-05
X388,1.08916665e-05
X439,8.728645e-06
X316,6.7258256e-06
X485,4.916755e-06
X593,4.4608473e-06
X63,1.360775e-06
X98,0.0
X729,0.0
X317,0.0
X430,0.0
X480,0.0
X109,0.0
X456,0.0
X311,0.0
X70,0.0
X7,0.0
X476,0.0
X518,0.0
X390,0.0
X2,0.0
X701,0.0
X59,0.0
X16,0.0
X687,0.0
X467,0.0
X717,0.0
X635,0.0
X392,0.0
X231,0.0
X99,0.0
X186,0.0
X13,0.0
X358,0.0
X256,0.0
X5,0.0
X3,0.0
X57,0.0
X62,0.0
X104,0.0
X622,0.0
X542,0.0
X75,0.0
X503,0.0
X249,0.0
X79,0.0
X437,0.0
X254,0.0
X80,0.0
X716,0.0
X206,0.0
X255,0.0
X660,0.0
X141,0.0
X479,0.0
X66,0.0
X305,0.0
X661,0.0
X490,0.0
X65,0.0
X387,0.0
X658,0.0
X399,0.0
X715,0.0
X257,0.0
X668,0.0
X714,0.0
X747,0.0
X746,0.0
X745,0.0
X347,0.0
X482,0.0
X489,0.0
X638,0.0
X363,0.0
X538,0.0
X672,0.0
X544,0.0
X147,0.0
X246,0.0
X1,0.0
X229,0.0
X423,0.0
X637,0.0
X106,0.0
X461,0.0
X519,0.0
X258,0.0
X633,0.0
X720,0.0
X307,0.0
X509,0.0
X510,0.0
X260,0.0
X393,0.0
X596,0.0
X58,0.0
X74,0.0
X158,0.0
X351,0.0
X105,0.0
X265,0.0
X11,0.0
X755,0.0
X236,0.0
X67,0.0
X350,0.0
X665,0.0
X721,0.0
X491,0.0
X110,0.0
X60,0.0
X659,0.0
X495,0.0
X12,0.0
X310,0.0
X259,0.0
X134,0.0
X308,0.0
X346,0.0
X234,0.0
X517,0.0
X598,0.0
X516,0.0
X142,0.0
X411,0.0
X692,0.0
X72,0.0
X252,0.0
X273,0.0
X349,0.0
X454,0.0
X725,0.0
X496,0.0
X15,0.0
X312,0.0
X103,0.0
X492,0.0
X354,0.0
X539,0.0
X669,0.0
X623,0.0
X484,0.0
X488,0.0
X183,0.0
X470,0.0
X268,0.0
X241,0.0
X595,0.0
X468,0.0
X220,0.0
X8,0.0
X520,0.0
X251,0.0
X632,0.0
X395,0.0
X689,0.0
X101,0.0
X375,0.0
X636,0.0
X693,0.0
X26,0.0
X170,0.0
X128,0.0
