feature,importance_mean,importance_std,is_engineered
X131,0.24363667576331846,0.0016922484074267557,False
X29,0.24362284177285848,0.0022102783113019647,False
X420,0.24245306675936035,0.0021735274909932514,False
X171,0.24188185871788742,0.001961293621725353,False
X370,0.24132604429936494,0.0020890404574721317,False
X671,0.24115664676494625,0.002039805116850938,False
X591,0.2392030328528548,0.0014985708811404545,False
X672,0.23804973971397608,0.0016202217719860227,False
X199,0.23790014129827783,0.0019374722764973155,False
X194,0.23783351682862489,0.0017409091692079082,False
X53,0.2370892267395397,0.0017678000792145166,False
X221,0.23695803000327015,0.001897990557991422,False
X83,0.23694648886859554,0.0019034334157719964,False
X195,0.2367665781962626,0.0018400507919061543,False
X374,0.2365810037252743,0.0014387811795853488,False
X243,0.23652999107224565,0.0023244616085608904,False
X338,0.23553503424529607,0.0020829754303264146,False
X75,0.23535960292581343,0.0018960135268327157,False
X376,0.23264693962013733,0.0019741931059488694,False
X33,0.23054965550765277,0.0013706647934455724,False
X89,0.22833091086196614,0.0021486153656822874,False
X341,0.22827780529903144,0.0014061699420010714,False
X198,0.22815566250973,0.0018622581381689128,False
X740,0.22803129091637292,0.002341028493604915,False
X173,0.22793370386754203,0.0013975705695857508,False
X268,0.22708185354061716,0.0018655521578834983,False
X232,0.22696108402013127,0.001777880662474621,False
X707,0.22590701801819008,0.0022279141112528903,False
X371,0.22577024826113262,0.0011263671302958087,False
X402,0.2256533179279132,0.0018113221540965645,False
X638,0.22561003662114548,0.0021761549677508543,False
X326,0.2249279542732935,0.0018084639054388799,False
X245,0.22430304981514898,0.001489478517467527,False
X545,0.22406015021795528,0.0022188569789198575,False
X38,0.22341566824665846,0.0015373227003163564,False
X192,0.2225573741776928,0.0017554343438192233,False
X427,0.22247564796059754,0.001566274953697199,False
X70,0.21909997150943283,0.002062984401066008,False
X422,0.21813827640173247,0.0020625274265199276,False
X177,0.2171596178176459,0.001749300231756667,False
X28,0.21320991155234767,0.002052107681925544,False
X676,0.21275782988429995,0.0020493486594398208,False
X69,0.21243972841229639,0.0017181431730271246,False
X117,0.2121904291851532,0.0017633260995828107,False
X328,0.21121772903173378,0.0020796131316564498,False
X775,0.21063393798046284,0.0025682581859866826,False
X428,0.21046372106317185,0.0021879876185703713,False
X320,0.20978627047114085,0.001604064153064479,False
X27,0.20934551718405267,0.0018422457025308236,False
X279,0.2081187267645852,0.001868878731243028,False
X76,0.20691788046849582,0.0019389118745928597,False
X236,0.20648920562168302,0.0018370765478233652,False
X237,0.20624832430443885,0.00220846263522357,False
X259,0.20502077731825338,0.0026110083265432054,False
X298,0.20476572106428637,0.001839289367371082,False
X51,0.2032826927328631,0.0016455521804740565,False
X680,0.20309137985424575,0.0018535243733527706,False
X231,0.20252939094276864,0.0014517123229945824,False
X650,0.2020586306477416,0.0012015606838661674,False
X408,0.20180978927629542,0.0015915504924494922,False
X20,0.20134306121425394,0.0021772038223352866,False
X683,0.1999744526629524,0.00196953182954468,False
X331,0.19979519006495705,0.002544934018507252,False
X156,0.19960219343131194,0.0017627414989038123,False
X197,0.19953516584565661,0.0017443938913864155,False
X219,0.198193848116962,0.002220602513603238,False
X299,0.19666838656656868,0.0019320543702545264,False
X780,0.1962385252091438,0.001665613952005448,False
X712,0.1948345303605152,0.0024798382226472663,False
X244,0.1941149431795409,0.0019697119144307263,False
X397,0.19393325067073713,0.0013074618640026194,False
X317,0.19382797158577397,0.0014326295959191816,False
X655,0.19239795963495207,0.001222974500828617,False
X585,0.19040175312799879,0.0015715763108414627,False
X132,0.18980201600364002,0.0020166890409439183,False
X466,0.18893536369472808,0.0020135632880424648,False
X573,0.18882041178941872,0.0013469621376648085,False
X72,0.1864925411662586,0.0015798886505646811,False
X133,0.18558297779022032,0.0017048266891661044,False
X162,0.1841318462885968,0.0013731783964979875,False
X248,0.18326289659322784,0.0016987801395064051,False
X674,0.18130222861172168,0.0018840276898245448,False
X418,0.18124593972996125,0.0018329611798728208,False
X678,0.1805254379158338,0.0017923864484059126,False
X610,0.18041127970011633,0.0011309018803148272,False
X284,0.18034303267046176,0.002043424873893623,False
X718,0.17987386023485905,0.00216042264604482,False
X668,0.17924535796650792,0.0016636597065474686,False
X217,0.17867369028304797,0.002003279407314277,False
X4,0.1776374264433588,0.0020020389417539112,False
X93,0.17207528392524202,0.0015948305733641654,False
X31,0.17173413386170672,0.0011972685660034672,False
X453,0.1711989095368581,0.0019489201892864453,False
X439,0.16826994883332488,0.0019422744076277832,False
X181,0.16747908617431148,0.0018392174422702564,False
X151,0.16677665870615466,0.0019297843508404898,False
X45,0.1661418391169604,0.0014409763289636814,False
X37,0.16609816906513816,0.001454996998216588,False
X580,0.16594038726731966,0.0011964780582302199,False
X666,0.16386324697412,0.0016880574012824792,False
X179,0.16249645129990262,0.0015020737229147559,False
X549,0.16160362133387246,0.001403138385803604,False
X30,0.16125088719683442,0.0013449547031345605,False
X607,0.15834727304083346,0.0011896764729906549,False
X82,0.15654020864283538,0.001634985156279104,False
X662,0.1557487601952845,0.0018308785734845886,False
X383,0.15459520866901627,0.0011396178409239688,False
X218,0.15293003167939762,0.002097696328655368,False
X167,0.15289159123892793,0.001134866756935098,False
X656,0.152872702713105,0.0017263810641102435,False
X153,0.1525952431694755,0.0012179115941064402,False
X344,0.1518453303840658,0.0016621488788227323,False
X274,0.15074664834188187,0.0012083559754712957,False
X632,0.149408739466894,0.002299336510126508,False
X426,0.148709314713836,0.0021478977929093074,False
X574,0.14868212784252788,0.0009850406745983576,False
X212,0.14866585280043781,0.0016275024302782088,False
X382,0.14611135477607154,0.0015676037539774652,False
X78,0.14585059909427214,0.0017650295897183373,False
X561,0.1439224665829914,0.0011081594544833273,False
X24,0.1430365144652829,0.0010843243363073832,False
X586,0.1424667404895256,0.0010900785472862126,False
X165,0.14162646328676443,0.0017695595307355972,False
X419,0.13988497692558752,0.0009871768043363022,False
X412,0.13969479633559512,0.0016633699126541342,False
X407,0.13799901507172496,0.0013135872028875663,False
X401,0.13795775265360152,0.0015803626390306518,False
X579,0.13742522113168573,0.0015683382976376366,False
X226,0.1368948310671838,0.0017903521250909379,False
X413,0.13683140929253929,0.0010233231081247292,False
X213,0.13678288353110338,0.0013278790208436319,False
X340,0.13551009005280107,0.0015683626119510497,False
X524,0.13537596485899644,0.0011169022258728087,False
X336,0.1333892739618955,0.0016197204593001763,False
X325,0.13334431319431495,0.0021954432682260373,False
X337,0.13330982445042877,0.0019453998251922145,False
X396,0.1331439430842918,0.0012379517471265485,False
X663,0.13186258094111988,0.0017039597466554709,False
X161,0.12995632770224702,0.0014402293572370925,False
X768,0.12983400917580018,0.0016100429731660062,False
X211,0.12431601139236341,0.0014743571857979924,False
X196,0.12397038764306187,0.0013771864704254884,False
X230,0.12349592928992292,0.0013128051865907494,False
X293,0.12133409908309614,0.0015507724927535408,False
X251,0.11939466769939813,0.0020068598846329274,False
X207,0.11404773613116595,0.0014886142977526696,False
X107,0.11303690787677209,0.0016790554433167174,False
X88,0.11247029986128906,0.001249104503476055,False
X168,0.11053455561669379,0.0012602245803912638,False
X654,0.10994339574009888,0.001034059021177013,False
X604,0.10932122856787693,0.0012929243645293522,False
X115,0.10687296098721008,0.0014378969988001187,False
X366,0.10532784560956118,0.0012848045119480964,False
X762,0.10474731193863743,0.001291274330763665,False
X139,0.10437208581741697,0.0015835942917667022,False
